1	001	1	1.00	3	1.10	1.10	1.2	4	4	0.60	-0.60	0.39	0.39	0.33	-0.33	0.34	0.34	0.34	-0.22	0.28	-0.22	-0.2	0.28	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.34	
2	001	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.77	
3	001	1	2.10	3	2.10	2.10	2.2	3	3	0.90	-0.90	0.75	0.75	0.70	-0.70	0.75	0.75	0.75	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.91	
4	001	1	1.90	3	1.90	1.90	2	3	3	0.70	-0.70	0.64	0.64	0.63	-0.63	0.64	0.64	0.64	-0.63	0.63	-0.63	-0.6	0.63	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.84	
5	001	1	0.40	1	0.50	0.50	0.5	2	2	0.40	-0.40	0.40	0.40	0.40	-0.40	0.29	0.29	0.29	-0.15	0.25	-0.15	-0.1	0.25	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.71	
6	001	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.98	
7	001	1	3.00	6	3.00	3.00	3.2	6	6	0.80	-0.80	0.58	0.58	0.50	-0.50	0.58	0.58	0.58	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.71	
8	001	1	1.70	3	2.60	2.60	2.8	5	7	0.80	-0.70	0.60	0.60	0.57	-0.57	0.59	0.50	0.50	-0.16	0.52	-0.11	-0.1	0.37	0.90	2	0.00	0.80	0.57	0.57	0.45	0.45	0.70	
9	001	1	1.10	3	1.30	1.30	1.5	4	4	0.50	-0.50	0.39	0.39	0.37	-0.37	0.35	0.35	0.35	-0.23	0.32	-0.23	-0.2	0.32	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.54	
10	001	1	1.30	2	1.30	1.30	1.3	2	2	0.70	-0.70	0.65	0.65	0.65	-0.65	0.65	0.65	0.65	-0.65	0.65	-0.65	-0.6	0.65	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	0.84	
11	001	1	3.80	5	3.80	3.80	4.1	5	6	0.90	-0.90	0.78	0.78	0.76	-0.76	0.78	0.72	0.72	-0.76	0.76	-0.63	-0.6	0.63	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.88	
12	001	1	1.00	2	1.00	1.00	1	2	2	0.90	-0.90	0.64	0.64	0.50	-0.50	0.64	0.64	0.64	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.92	
13	001	1	0.00	0	0.80	0.80	0.8	2	2	0.40	0.40	0.00	0.00	0.00	0.00	0.40	0.40	0.40	0.40	0.40	0.40	0.4	0.40	0.80	2	0.40	0.40	0.40	0.40	0.40	0.40	0.79	
14	001	1	2.10	3	2.20	2.20	2.4	4	4	0.90	-0.90	0.75	0.75	0.70	-0.70	0.66	0.66	0.66	-0.50	0.55	-0.50	-0.5	0.55	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.79	
15	001	1	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.20	
16	001	1	0.60	1	0.60	0.60	0.6	1	1	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	1.25	
17	001	1	0.80	3	1.30	1.30	1.4	5	5	0.60	-0.60	0.36	0.36	0.27	-0.27	0.32	0.32	0.32	-0.06	0.26	-0.06	0	0.26	0.50	2	0.10	0.30	0.25	0.25	0.25	0.25	0.59	
18	001	1	4.80	8	5.10	5.10	5.4	10	10	0.90	-0.90	0.65	0.65	0.60	-0.60	0.59	0.59	0.59	-0.45	0.51	-0.45	-0.4	0.51	0.30	2	0.10	0.20	0.16	0.16	0.15	0.15	0.64	
19	001	1	2.30	3	2.30	2.30	2.4	3	3	0.90	-0.90	0.78	0.78	0.77	-0.77	0.78	0.78	0.78	-0.77	0.77	-0.77	-0.8	0.77	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	0.90	
